Viloyat / Област / Region;Tuman / Район / District;Joyiashgan joyi / Место расположения / Location; Turi / Тип / A type;Kenglik / Широта / Latitude;Uzunlik / Долгота / Longitude;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;САНОАТЧИЛАР R4 (ТЕЛЕЦЕНТР ЧОРРАХАСИ);ПДД КАМЕРА;41.529928;60.61665;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ЯНГИАРИҚ R1 (МАШАЛ ЧОРРАХАСИ);ПДД КАМЕРА;41.544931;60.615516;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ТИНЧЛИК R4 (ХАЛҚ БАНК ЧОРРАХАСИ);ПДД КАМЕРА;41.558318;60.621204;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ЯНГИАРИҚ R1 (ТЕЛЕЦЕНТР ЧОРРАХАСИ);ПДД КАМЕРА;41.529928;60.61665;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ЯНГИАРИҚ R4 (МАШАЛ ЧОРРАХАСИ);ПДД КАМЕРА;41.544931;60.615516;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ХОНҚА R3 (ЗАНАЛНИЙ ЧОРРАХАСИ);ПДД КАМЕРА;41.542529;60.63189;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ТИНЧЛИК R2 (ХАЛҚ БАНК ЧОРРАХАСИ);ПДД КАМЕРА;41.558318;60.621204;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;П. МАХМУД R3 (ХАЛҚ БАНК ЧОРРАХАСИ);ПДД КАМЕРА;41.558318;60.621204;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ХОНҚА R4 (МАШАЛ ЧОРРАХАСИ);ПДД КАМЕРА;41.544931;60.615516;
Xorazm viloyati / Хорезмская область /  Khorezm region;Urganch shahri / Город Ургенч / Urgench city;ХОНҚА R1 (ЗАНАЛНИЙ ЧОРРАХАСИ);ПДД КАМЕРА;41.542529;60.63189;
