,ID,Address,District,geoData
87067,PVN_hd_VAO_2181_1,"город Москва, 15-я Парковая улица, дом 46, корпус 2",район Северное Измайлово,"{'coordinates': [37.81991964663, 55.8077923627862], 'type': 'Point'}"
49698,PVN_hd_UVAO_9665_2,"город Москва, улица Верхние Поля, дом 42, корпус 1",район Марьино,"{'coordinates': [37.7768649411289, 55.6650095519911], 'type': 'Point'}"
11217,PVN_hd_SVAO_3473_3,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бибирево, улица Конёнкова, дом 6А",район Бибирево,"{'coordinates': [37.6095388395214, 55.8889934314548], 'type': 'Point'}"
47899,PVN_hd_ZAO_9848_3,"город Москва, Кутузовский проспект, дом 82",район Фили-Давыдково,"{'coordinates': [37.4546631562064, 55.7255591767758], 'type': 'Point'}"
27483,PVN_hd_VAO_2_5033_4,"город Москва, Бойцовая улица, дом 6, корпус 6",район Богородское,"{'coordinates': [37.7184433223392, 55.8095354491933], 'type': 'Point'}"
89840,PVN_hd_SAO_2750_22,"город Москва, Ленинградский проспект, дом 33, корпус 6",район Беговой,"{'coordinates': [37.5586317763804, 55.7875222562662], 'type': 'Point'}"
99279,PVN_hd_UVAO_4784_4,"город Москва, Зеленодольская улица, дом 13, корпус 1",район Кузьминки,"{'coordinates': [37.7760066983231, 55.7114046918292], 'type': 'Point'}"
26943,PVN_hd_UVAO_2_8704_3,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Выхино-Жулебино, улица Чугунные Ворота, дом 19, корпус 1",район Выхино-Жулебино,"{'coordinates': [37.8046611331153, 55.6927164269177], 'type': 'Point'}"
18160,PVN_hd_SAO_2_7445_5,"город Москва, Дмитровское шоссе, дом 135, корпус 1",Дмитровский район,"{'coordinates': [37.5414420449509, 55.8912310996063], 'type': 'Point'}"
52952,PVN_hd_ZAO_10413_3,"город Москва, Новозаводская улица, дом 8, корпус 3",район Филёвский Парк,"{'coordinates': [37.5070376331924, 55.7521496837158], 'type': 'Point'}"
86614,PVN_hd_UAO_11022_5,"город Москва, 6-я Радиальная улица, дом 3, корпус 6",район Бирюлёво Восточное,"{'coordinates': [37.6650140048679, 55.6056911116281], 'type': 'Point'}"
35486,PVN_hd_SVAO_1512_2,"город Москва, Мурановская улица, дом 7",район Бибирево,"{'coordinates': [37.5975788819303, 55.8915833933407], 'type': 'Point'}"
49718,PVN_hd_UVAO_9493_4,"город Москва, улица Марьинский Парк, дом 33",район Люблино,"{'coordinates': [37.7873121824865, 55.6671681709799], 'type': 'Point'}"
103299,PVN_hd_UVAO_4908_3,"город Москва, Новочеркасский бульвар, дом 22",район Марьино,"{'coordinates': [37.7213773594073, 55.6451800780082], 'type': 'Point'}"
30473,PVN_hd_UVAO_2_9271_3,"Российская Федерация, город Москва, внутригородская территория муниципальный округ Лефортово, Красноказарменная улица, дом 3",район Лефортово,"{'coordinates': [37.6886612405516, 55.7614453795403], 'type': 'Point'}"
94483,PVN_hd_VAO_1003_1,"город Москва, улица Молостовых, дом 14, корпус 2",район Ивановское,"{'coordinates': [37.8304220480809, 55.7551701434245], 'type': 'Point'}"
61233,PVN_hd_ZAO_501_4,"город Москва, Озёрная улица, дом 32, корпус 2",район Очаково-Матвеевское,"{'coordinates': [37.4504033615529, 55.6754288784314], 'type': 'Point'}"
25535,PVN_hd_UVAO_2_10156_2,"город Москва, Рязанский проспект, дом 38",Рязанский район,"{'coordinates': [37.7884390416196, 55.7173355535583], 'type': 'Point'}"
80279,PVN_hd_NAO_593_3,"город Москва, город Щербинка, Спортивная улица, дом 2",поселение Щербинка,"{'coordinates': [37.5702141415653, 55.500545432805], 'type': 'Point'}"
97516,PVN_hd_SVAO_7_311_8,"город Москва, Дмитровское шоссе, дом 169, корпус 1",район Северный,"{'coordinates': [37.5443294298319, 55.9298505364372], 'type': 'Point'}"
71571,PVN_hd_UZAO_7748_10,"город Москва, Ленинский проспект, дом 91",Ломоносовский район,"{'coordinates': [37.5315125793597, 55.6764591566811], 'type': 'Point'}"
10435,PVN_hd_SVAO_4884_1,"город Москва, Югорский проезд, дом 16/13",Ярославский район,"{'coordinates': [37.7126945164503, 55.8798177924092], 'type': 'Point'}"
99595,PVN_hd_SAO_3078_2,"город Москва, 1-й Лихачёвский переулок, дом 4, корпус 3",Головинский район,"{'coordinates': [37.5186418790846, 55.8453770512917], 'type': 'Point'}"
